optimizer,estimator,generator,acquisitor,Wp0,Wn0,Wp2,Wp1,Wn2,Wn1,t_phl,t_plh,v_il,v_ih,cost,time_stamp
forest_minimize,GBRT,lhs,EI,0.00013584817441338526,1.836896616584938e-05,1.3252554398942152e-05,9.461809980226165e-07,3.4543565144303755e-05,9.089360167566408e-07,1.3212197414977298,2.261775024929997,7.768301557575796e-10,1.096129409461355e-09,0.5803273133557958,200604-211111
forest_minimize,GBRT,lhs,PI,9.009452973299735e-06,5.669255972005006e-07,4.010773187637868e-06,1.1100619365523571e-06,4.1398265562239007e-07,9.443590648896304e-07,1.341473822174287,1.9263808109904286,9.922320742816737e-10,1.0014584717055186e-09,0.5105412743825891,200659-211111
forest_minimize,GBRT,lhs,gp_hedge,0.0001477840162100652,1.1547437292336166e-05,3.970696428484908e-05,1.8723241320109605e-06,2.6798665335838364e-05,1.1376295813621906e-06,1.3442700810169246,2.356120002432708,8.375837801111174e-10,5.843352468559715e-10,0.529071685300714,200801-211111
forest_minimize,GBRT,grid,LCB,2.369717262040337e-06,8.27004699025527e-05,5.553273212263569e-07,3.9923815230799395e-05,0.00013494029390555482,1.5433557777482146e-06,1.3814482357267033,2.218299548813375,9.688294611009951e-10,1.1242988762205641e-09,0.7772952655806573,200934-211111
forest_minimize,GBRT,grid,EI,2.080083823051906e-05,7.745966692414835e-06,7.745966692414835e-06,2.8844991406148213e-06,7.745966692414835e-06,1.074150667386063e-06,1.395929801146018,2.0512064257942146,5.984657214241906e-10,4.2306247394208185e-10,0.8090125618916562,201046-211111
forest_minimize,GBRT,grid,PI,3.853950951300894e-06,0.00010349867002839021,1.4197048814658554e-06,5.122529977609785e-05,7.330947669570746e-05,3.0649463599692956e-06,1.2949854577608655,1.8389544117791032,4.749010074078797e-10,6.998490675869107e-10,0.6292602390476053,201142-211111
forest_minimize,GBRT,grid,gp_hedge,3.853950951300894e-06,0.00010349867002839021,1.4197048814658554e-06,5.122529977609785e-05,7.330947669570746e-05,3.0649463599692956e-06,1.2949855742062286,1.8389545361275257,4.749010074078797e-10,6.998490675869107e-10,0.6292602390476053,201243-211111
gbrt_minimize,GP,random,LCB,2.3076649419419734e-05,1.4852534288725128e-05,3.057749728203677e-05,1.7224117001081345e-06,2.8832890088130935e-06,8.497125564986081e-07,0.9884829447405469,1.5691887028491869,6.143632269584032e-10,8.019798158898084e-10,0.6975990457577382,201409-211111
gbrt_minimize,GP,random,EI,1.5961057841843195e-06,9.97988377247056e-07,1.0341360560534985e-06,8.024688995890638e-06,4.782841655865556e-07,4.932688782271802e-06,1.2569321582774469,1.7082529132416777,5.765912192146061e-10,8.505107729206429e-10,0.535311333713136,201550-211111
gbrt_minimize,GP,random,PI,3.096762156963467e-06,3.3590763210281322e-06,6.00473137842223e-06,3.4298159546547936e-06,1.748015385693917e-05,1.6266015158819336e-06,0.9068513762503421,2.5640185574157757,7.833573789639559e-10,8.040101917572429e-10,0.668945466658095,201722-211111
gbrt_minimize,GP,random,gp_hedge,5.062222710708575e-05,4.914711079426426e-07,2.1559077206090433e-05,1.1380654507287926e-06,4.332608046952731e-07,1.1410087606645628e-06,1.3676324893537606,1.9882399521822773,1.1067893268545959e-09,8.65855831477802e-10,0.49847781663630036,201852-211111
gbrt_minimize,GP,sobol,LCB,0.0001305456488693979,1.414166925701706e-05,1.0711319164426038e-05,1.2729181334538832e-06,4.296665438748644e-05,8.78867731217779e-07,1.4227547349243448,2.43264730890787,9.202967277133212e-10,8.762990333366361e-10,0.5471487127091342,202047-211111
gbrt_minimize,GP,sobol,EI,4.919848774144278e-06,3.424086690126929e-06,5.072789710051864e-07,4.818132801920787e-05,8.581691989036547e-06,6.172707855388104e-05,1.3871779836823284,2.315324282596185,6.430971311033318e-10,7.957376979561559e-10,0.4163416428854699,202213-211111
gbrt_minimize,GP,sobol,PI,0.00013650719425660886,2.206770102808148e-05,1.725901052771399e-05,1.0659762555078907e-06,4.7067823351199883e-07,4.0399673148534566e-07,1.5211339590006296,1.5426717018251244,8.831375630791172e-10,8.076685986679877e-10,0.4491599943639154,202357-211111
gbrt_minimize,GP,sobol,gp_hedge,0.0001305456488693979,1.414166925701706e-05,1.0711319164426038e-05,1.2729181334538832e-06,4.296665438748644e-05,8.78867731217779e-07,1.4227546334668864,2.432647796104705,9.202967277133212e-10,8.762990333366361e-10,0.5471487127091342,202535-211111
gbrt_minimize,GP,halton,LCB,3.976440102138725e-06,0.00012390240050958612,1.34524305799836e-06,1.9818606655358868e-05,0.0001489019866954274,9.459825438910451e-07,1.5411783595624295,2.1487004239229006,9.257945521312649e-10,6.394440532631052e-10,0.6014491039364296,202730-211111
gbrt_minimize,GP,halton,EI,4.339962443762326e-06,3.211531996601837e-05,4.035849512159473e-06,0.00014776126848156114,3.690195808000769e-05,4.718411678436572e-06,1.1619184136883598,2.0511812989267533,8.113687499644584e-10,1.0918945747562248e-09,0.5702867861761682,202904-211111
gbrt_minimize,GP,halton,PI,6.863184063585861e-06,6.40468862346714e-07,7.113243830618959e-07,1.3004462737866108e-06,3.7535100015841e-06,3.969710012702541e-06,1.4825412620815384,2.559252451844402,7.907097199222335e-10,8.674101437122772e-10,0.5064913971825473,203050-211111
gbrt_minimize,GP,halton,gp_hedge,3.081142535334735e-06,6.791699414365962e-07,4.6055945012479035e-06,5.5247638467492595e-06,6.114713738705493e-07,1.9382910476514437e-06,1.0755062032118496,1.9935107312415132,8.101701531870731e-10,5.742641917549918e-10,0.5205244648016454,203243-211111
