optimizer,estimator,generator,acquisitor,wn0,wn1,wn2,wn3,wp,vs0,vs1,vs2,vs3,cost,time_stamp
forest_minimize,ET,hammersly,PI,1.0301166910073267e-05,1.9865433102240873e-05,1.6221845411123227e-05,9.219342926656982e-05,2.8108495428382193e-05,1.6613978882581488,1.6553594855296825,1.7547149506906576,1.662118109746852,0.0809638995305099,001019-211103
forest_minimize,ET,hammersly,gp_hedge,5.690374451196172e-06,1.3609652279212598e-05,1.4250820880549444e-05,4.248493689567411e-05,1.5148148570700552e-05,1.6489016495707611,1.6037497334755058,1.6588687477204382,1.606858515261592,0.06021748449247226,001813-211103
forest_minimize,ET,lhs,LCB,1.2077776461774036e-06,3.734723881493397e-06,1.6069073894627408e-05,8.180211277697312e-06,4.487766812207583e-06,1.7566612230265757,1.6744660384708672,1.5991829609049983,1.658867757090746,0.11564367132314585,002728-211103
forest_minimize,ET,lhs,EI,7.4844547778711825e-06,6.811159208943051e-06,0.00011957677764006407,5.7413702560402406e-05,1.945532419417259e-05,1.644521529003189,1.789771525944386,1.613093910093665,1.6577461051333906,0.1150922375641956,003508-211103
forest_minimize,ET,lhs,PI,8.816557005735359e-06,3.0072294720519974e-05,1.8334890114125088e-05,1.448755249765152e-06,1.1361734359772997e-05,1.6939634802384005,1.6752901580647919,1.6827040411830871,2.0192539366345925,0.28558279764901356,004325-211103
forest_minimize,ET,lhs,gp_hedge,1.7107350984668698e-06,1.2326166687868437e-05,7.132397279344885e-06,8.068863302972266e-06,5.788335654156413e-06,1.7274787457325862,1.54242326392081,1.6285333186595097,1.656358345988552,0.12901849038837487,005129-211103
forest_minimize,ET,grid,LCB,1.1318146368932317e-05,2.8866325150601628e-05,2.8866325150601628e-05,6.816804497355961e-05,2.8866325150601628e-05,1.635565775394102,1.579743174846299,1.639847010852187,1.6046623385334013,0.08495860628727907,010117-211103
forest_minimize,ET,grid,EI,1.491787763544507e-05,2.9089781719619976e-05,4.50588881059556e-05,7.237622871078001e-05,4.0735744921221525e-05,1.6601999241509964,1.6528532443327055,1.6624882409218504,1.6599373625227989,0.02150228601718278,010911-211103
forest_minimize,ET,grid,PI,1.2183086127992013e-05,2.6241135975667746e-05,4.424502242714268e-05,4.292587881154492e-05,3.2349660572893536e-05,1.6492829741743493,1.6237212142286255,1.6212124899282718,1.6636031800830633,0.04205242530413121,011716-211103
forest_minimize,ET,grid,gp_hedge,1.9108098033915957e-05,3.094745503587215e-05,5.5846901842647964e-05,0.00010508235473149107,4.7946498639419893e-05,1.6314619903846301,1.6577846116950166,1.6509429211002102,1.6350557239751007,0.025581708142724837,012520-211103
forest_minimize,GBRT,random,LCB,4.1445329780151367e-07,9.220227207862293e-06,5.173239072756322e-06,0.00010314960788444336,2.735953882768179e-06,1.893732611523566,1.6775915062205915,1.7197038048808322,1.6444738946506885,0.21003274422684934,013526-211103
forest_minimize,GBRT,random,EI,6.680199053028781e-07,2.2481068678259044e-05,7.387481913876178e-05,8.730676701798039e-06,3.7476417128555202e-06,1.8827722858159481,1.6406544197886945,1.6148999181489403,1.6924583105445792,0.19374318692296516,013624-211103
forest_minimize,GBRT,random,PI,4.2837810795318946e-07,1.1310948334029123e-05,1.366405521675811e-05,5.735173292265687e-06,2.7368369797339043e-06,1.8760321733942007,1.6462850813856127,1.648597518578899,1.6989646471098014,0.1697661942663578,013733-211103
forest_minimize,GBRT,random,gp_hedge,0.0001347539908855972,1.8723995169317182e-05,5.387643319906671e-05,0.00010587589456582873,5.779441618724824e-05,1.1601842119585852,1.7188631924004805,1.654058355287689,1.6353702940043258,0.3499194192274294,013837-211103
forest_minimize,GBRT,sobol,LCB,1.8157325134411455e-05,1.601034568751781e-05,2.5106405941377592e-05,6.935134051308341e-05,3.653082949730162e-05,1.5642012542682286,1.7157120654169649,1.7349484743476835,1.6914407508391207,0.16842426444578218,013943-211103
forest_minimize,GBRT,sobol,EI,4.3003584063377684e-07,2.0282831245756953e-05,7.191498849955358e-05,7.734472684648046e-05,3.073026516778465e-06,1.9068913885282612,1.6669828507607645,1.6421360171761488,1.6424235142644596,0.17534224718085897,014046-211103
forest_minimize,GBRT,sobol,PI,1.491787763544507e-05,2.9089781719619976e-05,4.50588881059556e-05,7.237622871078001e-05,4.0735744921221525e-05,1.6601999241509964,1.6528532443327055,1.6624882409218504,1.6599373625227989,0.02150228601718278,014203-211103
forest_minimize,GBRT,sobol,gp_hedge,1.2918753318783957e-05,3.082001356924055e-05,2.2241455616867062e-05,0.00011533691998736875,3.629360276704172e-05,1.6706524074907212,1.6288999774748933,1.739086591162583,1.6510854820384464,0.079954244373853,014304-211103
forest_minimize,GBRT,halton,LCB,4.5810969578709247e-07,3.7718886286792646e-06,1.1734692823385433e-05,2.1314226590349832e-05,2.4440526453180436e-06,1.8397695260348264,1.6676436011326938,1.6269635288287772,1.6144800296057704,0.1611936780199834,014423-211103
forest_minimize,GBRT,halton,EI,4.027011469318964e-07,2.9328830659073826e-06,1.6646368917114916e-06,5.8630172289134e-06,1.969940555281617e-06,1.7880060446883843,1.6200957576621984,1.7115701817150015,1.6551482809079656,0.14219924221160804,014524-211103
forest_minimize,GBRT,halton,PI,4.318877090176276e-07,4.039334925848552e-06,5.035622438538034e-06,8.720790549719855e-06,2.4287048884417104e-06,1.8404176685618265,1.662092845632124,1.6710561607261547,1.6601734653860376,0.14166069109463225,014642-211103
forest_minimize,GBRT,halton,gp_hedge,6.553849514190098e-06,1.1429899328776387e-05,2.4060325012233523e-05,8.879725954083103e-05,2.0697518372708685e-05,1.7084452791639069,1.722029076522135,1.6998697718369944,1.6465234651648275,0.11140646203527821,014758-211103
